subject,event,region,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
s0,cue,frontal,0.007766,0.016440,0.024296,0.047859,0.069775,0.067086,0.050776,0.034597,0.018165,0.010027,0.010984,0.007460,-0.007125,-0.021729,-0.024076,-0.019637,-0.017192,-0.010375,-0.003497
s1,cue,frontal,-0.040937,-0.045580,-0.027066,0.037750,0.112545,0.128592,0.058831,-0.053825,-0.136059,-0.146048,-0.097984,-0.032770,0.012255,0.028379,0.020242,0.012594,0.004579,-0.000439,-0.001534
s2,cue,frontal,0.007802,-0.010528,-0.009048,0.009915,0.013212,-0.013418,-0.054405,-0.078363,-0.069666,-0.037689,-0.003771,0.022680,0.042363,0.047918,0.038996,0.024734,0.014510,0.010319,0.015343
s3,cue,frontal,-0.000546,0.000653,0.002453,0.019946,0.053443,0.080447,0.073902,0.026668,-0.033848,-0.077533,-0.093257,-0.088991,-0.070714,-0.047639,-0.030614,-0.022377,-0.016807,-0.014138,-0.023402
s4,cue,frontal,-0.039116,-0.031674,0.018850,0.118515,0.204171,0.188521,0.063487,-0.086786,-0.160821,-0.136592,-0.066593,-0.024693,-0.016984,-0.021514,-0.026796,-0.032512,-0.040862,-0.044786,-0.045560
s5,cue,frontal,-0.027033,-0.018493,0.002121,0.025693,0.040826,0.035830,0.012551,-0.014400,-0.028292,-0.028837,-0.025539,-0.023329,-0.018146,-0.014985,-0.017213,-0.019507,-0.010068,0.005884,0.022501
s6,cue,frontal,0.018653,0.014063,0.009211,0.008901,0.002407,-0.007726,-0.021460,-0.042295,-0.063961,-0.070898,-0.064226,-0.052012,-0.043700,-0.037652,-0.020815,0.010052,0.031507,0.020415,0.012248
s7,cue,frontal,-0.043021,-0.045232,-0.043014,-0.039686,-0.030818,-0.017946,-0.003307,0.008844,0.015765,0.014399,0.005585,-0.005114,-0.014005,-0.017513,-0.019831,-0.027467,-0.039687,-0.044474,-0.037439
s8,cue,frontal,0.010417,-0.004702,-0.012496,-0.004987,0.007850,0.018260,0.022374,0.019028,0.007278,-0.005735,-0.015141,-0.014830,-0.007431,0.008419,0.021794,0.025383,0.016332,0.013762,0.014358
s9,cue,frontal,-0.008117,0.005342,0.027964,0.048598,0.054909,0.047048,0.026864,0.003643,-0.008729,-0.003133,0.010463,0.020380,0.024292,0.020074,0.010535,0.002170,-0.004290,-0.004900,-0.000643
s10,cue,frontal,-0.012412,-0.022527,-0.019877,-0.012393,-0.004133,-0.008964,-0.027481,-0.047084,-0.052505,-0.039303,-0.016124,-0.001503,0.005711,0.004400,0.007167,0.011241,0.010163,0.005244,-0.003251
s11,cue,frontal,-0.050033,-0.058814,-0.056768,-0.036840,-0.004533,0.015301,0.005734,-0.025367,-0.044925,-0.036140,-0.004138,0.030528,0.055766,0.059510,0.050133,0.047102,0.057105,0.073757,0.090520
s12,cue,frontal,0.005239,-0.007171,-0.007507,-0.002159,-0.000457,-0.006805,-0.008855,-0.004939,-0.003195,-0.007656,-0.009354,-0.006349,-0.003034,-0.004450,-0.003318,-0.004490,-0.001723,0.003671,0.004384
s13,cue,frontal,-0.012576,-0.010346,0.004396,0.034135,0.058704,0.056731,0.022420,-0.029130,-0.070991,-0.082955,-0.066287,-0.040369,-0.020686,-0.009388,-0.005701,-0.003053,-0.002522,-0.004190,-0.012163
s0,cue,parietal,-0.006899,0.000300,0.033220,0.085040,0.115321,0.102044,0.063799,0.025389,-0.002738,-0.020044,-0.032699,-0.039002,-0.036943,-0.035780,-0.031080,-0.025614,-0.026122,-0.025896,-0.014664
s1,cue,parietal,-0.057706,-0.070932,-0.052213,0.033003,0.149242,0.215735,0.181533,0.065644,-0.065756,-0.152929,-0.176453,-0.149785,-0.103785,-0.052710,-0.019020,0.003238,-0.000349,-0.010481,-0.026370
s2,cue,parietal,0.006142,0.001066,0.019591,0.049428,0.048464,0.007216,-0.046841,-0.078112,-0.077413,-0.053903,-0.022062,0.009137,0.030923,0.039476,0.035840,0.031595,0.024931,0.017803,0.017805
s3,cue,parietal,-0.021160,-0.021506,-0.013869,0.014796,0.058219,0.088904,0.085000,0.041475,-0.016939,-0.065935,-0.091749,-0.094231,-0.081460,-0.063705,-0.048376,-0.042253,-0.041899,-0.039589,-0.039710
s4,cue,parietal,-0.045956,-0.037429,0.021762,0.129606,0.213117,0.186053,0.049384,-0.108222,-0.181241,-0.149299,-0.068971,-0.019012,-0.007092,-0.010613,-0.011868,-0.012295,-0.020759,-0.037395,-0.052736
s5,cue,parietal,0.004315,0.010086,0.025403,0.046519,0.051541,0.028700,-0.009097,-0.042349,-0.057073,-0.056757,-0.049765,-0.039027,-0.022033,-0.006507,0.004816,0.007885,0.016005,0.025827,0.037161
s6,cue,parietal,0.021450,-0.004284,-0.022924,-0.009296,0.022271,0.038145,0.020649,-0.019875,-0.056234,-0.069248,-0.063755,-0.051604,-0.042589,-0.030561,-0.014262,0.006441,0.020626,0.027970,0.019532
s7,cue,parietal,-0.063537,-0.074132,-0.076609,-0.071386,-0.046347,-0.008158,0.023385,0.030375,0.018398,-0.000159,-0.014283,-0.020266,-0.020127,-0.014084,-0.008655,-0.013839,-0.024589,-0.026435,-0.013381
s8,cue,parietal,-0.015460,-0.022675,-0.021569,-0.000823,0.031201,0.047136,0.035340,0.005262,-0.023400,-0.039664,-0.045906,-0.045939,-0.042112,-0.026405,-0.007202,0.003590,0.000848,-0.005919,-0.017097
s9,cue,parietal,-0.028993,-0.027915,-0.009779,0.029298,0.061188,0.055847,0.017309,-0.023482,-0.039841,-0.029546,-0.013538,-0.004141,-0.004044,-0.016970,-0.034386,-0.038257,-0.035395,-0.036362,-0.051040
s10,cue,parietal,-0.031430,-0.038732,-0.026118,0.002068,0.034109,0.037892,0.006208,-0.039477,-0.066165,-0.067725,-0.056047,-0.045460,-0.030997,-0.021587,-0.010761,-0.008887,-0.016982,-0.031247,-0.043577
s11,cue,parietal,-0.051896,-0.058920,-0.054846,-0.032159,0.008013,0.042613,0.053989,0.036892,0.005470,-0.026744,-0.042917,-0.034447,-0.002377,0.028161,0.041342,0.037435,0.029307,0.031867,0.043195
s12,cue,parietal,-0.014797,-0.025904,-0.009485,0.030270,0.058198,0.047577,0.014915,-0.010311,-0.017423,-0.017397,-0.017928,-0.018536,-0.017830,-0.020109,-0.021824,-0.024801,-0.022735,-0.015378,-0.011434
s13,cue,parietal,-0.018394,-0.025184,-0.029330,0.000748,0.053692,0.081027,0.057222,0.003324,-0.048435,-0.075079,-0.073328,-0.050695,-0.025716,-0.009112,-0.003714,-0.001390,-0.009379,-0.017293,-0.020816
s0,stim,frontal,-0.021452,-0.021054,-0.009038,0.026727,0.070558,0.085387,0.059436,0.007993,-0.042793,-0.070102,-0.060433,-0.026104,0.003067,0.003330,-0.002700,-0.011966,-0.021399,-0.039322,-0.048430
s1,stim,frontal,-0.046049,-0.060273,-0.037520,0.057598,0.202123,0.315860,0.321335,0.204943,0.036685,-0.092768,-0.143302,-0.133647,-0.093411,-0.052714,-0.021003,-0.005134,-0.002719,-0.015686,-0.035852
s2,stim,frontal,-0.016985,-0.036433,-0.010744,0.057461,0.128158,0.149879,0.101050,0.014763,-0.057302,-0.086100,-0.075936,-0.049446,-0.027012,-0.016092,-0.010429,-0.013846,-0.030634,-0.049078,-0.058471
s3,stim,frontal,0.011056,-0.010262,-0.057306,-0.075213,-0.001835,0.147985,0.282222,0.319009,0.248302,0.127789,0.012525,-0.067520,-0.103477,-0.107386,-0.090363,-0.063136,-0.034023,-0.014400,-0.010920
s4,stim,frontal,-0.017516,-0.050523,-0.022763,0.120454,0.324265,0.455575,0.410661,0.218514,0.010963,-0.108729,-0.132442,-0.107947,-0.080444,-0.071227,-0.070692,-0.070937,-0.065939,-0.062506,-0.063263
s5,stim,frontal,-0.022977,-0.027179,0.003836,0.086629,0.186012,0.236025,0.196370,0.088225,-0.025743,-0.097376,-0.118451,-0.103937,-0.079538,-0.054614,-0.037696,-0.028027,-0.026812,-0.029921,-0.031013
s6,stim,frontal,-0.007947,0.009567,0.025363,0.061120,0.134851,0.213484,0.246784,0.203884,0.108753,0.008617,-0.075961,-0.138152,-0.155546,-0.132768,-0.088511,-0.040139,-0.002926,0.038575,0.046500
s7,stim,frontal,-0.020864,-0.023526,0.001795,0.064002,0.133497,0.176161,0.171117,0.126778,0.066535,0.012132,-0.024942,-0.042579,-0.042475,-0.026165,-0.000925,0.015163,0.014301,0.001212,-0.019634
s8,stim,frontal,0.018852,-0.009232,-0.042532,-0.047032,-0.012083,0.042811,0.086120,0.102759,0.087507,0.046827,-0.008700,-0.060692,-0.096825,-0.109371,-0.102198,-0.084825,-0.064510,-0.042657,-0.011114
s9,stim,frontal,0.002888,-0.005616,-0.014442,0.002063,0.040636,0.058953,0.032806,-0.018216,-0.067074,-0.096565,-0.101178,-0.092758,-0.083663,-0.075484,-0.061817,-0.048007,-0.036739,-0.030099,-0.009959
s10,stim,frontal,0.074399,0.063558,0.030892,0.009599,0.030044,0.072731,0.092245,0.071110,0.028299,-0.002734,-0.015356,-0.020110,-0.019425,-0.013740,-0.007162,-0.004118,-0.003057,-0.004571,-0.008928
s11,stim,frontal,-0.028423,-0.046235,-0.055154,-0.014988,0.075957,0.160735,0.176109,0.100876,-0.017347,-0.114304,-0.159772,-0.154564,-0.115369,-0.065245,-0.029558,-0.016907,-0.020795,-0.025345,-0.030784
s12,stim,frontal,0.038392,0.044770,0.075067,0.112746,0.123050,0.091027,0.032758,-0.015597,-0.041572,-0.047257,-0.043594,-0.035377,-0.032616,-0.032663,-0.039787,-0.049689,-0.059462,-0.060134,-0.062332
s13,stim,frontal,-0.038266,-0.046493,-0.024231,0.048318,0.147685,0.211232,0.195928,0.114907,0.013571,-0.068050,-0.110285,-0.114215,-0.090087,-0.055234,-0.022506,-0.000076,0.014085,0.023494,0.024425
s0,stim,parietal,-0.039327,-0.035735,0.009642,0.086399,0.154058,0.175532,0.143093,0.074343,0.005101,-0.035587,-0.047915,-0.051469,-0.052911,-0.055264,-0.052419,-0.053079,-0.057715,-0.071300,-0.075570
s1,stim,parietal,-0.064454,-0.074402,-0.035153,0.092221,0.287294,0.476055,0.564985,0.494787,0.294639,0.057892,-0.133041,-0.238474,-0.255486,-0.224351,-0.169312,-0.110742,-0.061356,-0.038021,-0.046659
s2,stim,parietal,-0.034407,-0.042087,0.008791,0.108916,0.196461,0.209355,0.143436,0.045744,-0.037407,-0.082613,-0.087688,-0.073417,-0.056377,-0.052656,-0.052875,-0.055462,-0.064998,-0.077292,-0.086623
s3,stim,parietal,-0.008576,-0.061460,-0.110565,-0.089708,0.027879,0.199188,0.340480,0.390466,0.337143,0.221716,0.089231,-0.023274,-0.091301,-0.116552,-0.110041,-0.090735,-0.071022,-0.053514,-0.047148
s4,stim,parietal,-0.048869,-0.082174,-0.028109,0.141458,0.346775,0.460896,0.405840,0.220449,0.017535,-0.114242,-0.152652,-0.128547,-0.090036,-0.074760,-0.063990,-0.056031,-0.047433,-0.044582,-0.048812
s5,stim,parietal,-0.051228,-0.063907,-0.017499,0.092712,0.208112,0.260057,0.221493,0.119177,0.006805,-0.074843,-0.114762,-0.120695,-0.110496,-0.094971,-0.080883,-0.070562,-0.064138,-0.056682,-0.040557
s6,stim,parietal,-0.023319,-0.037326,-0.030781,0.027562,0.136847,0.239175,0.270956,0.214480,0.112147,0.009017,-0.075433,-0.134795,-0.150693,-0.133171,-0.098845,-0.068720,-0.039951,-0.014746,-0.007029
s7,stim,parietal,0.004081,-0.023883,-0.034874,0.009548,0.093309,0.177630,0.218061,0.198790,0.133176,0.058897,0.001648,-0.030991,-0.040385,-0.030026,-0.015140,-0.009383,-0.021897,-0.043812,-0.060526
s8,stim,parietal,-0.034340,-0.049532,-0.049964,-0.006123,0.093181,0.212855,0.298009,0.312811,0.263207,0.170227,0.065198,-0.028025,-0.092511,-0.123950,-0.128448,-0.112578,-0.093024,-0.076287,-0.064408
s9,stim,parietal,-0.018369,-0.012765,0.040620,0.164446,0.307250,0.381495,0.345918,0.238231,0.121581,0.029053,-0.032380,-0.072241,-0.097789,-0.119383,-0.130267,-0.134828,-0.131641,-0.121574,-0.103513
s10,stim,parietal,0.052619,0.029822,0.011751,0.045838,0.143986,0.253871,0.296960,0.245642,0.136291,0.031006,-0.041702,-0.078080,-0.087232,-0.073892,-0.052288,-0.028809,-0.013566,-0.016847,-0.037970
s11,stim,parietal,-0.044634,-0.059354,-0.059089,-0.010138,0.087175,0.194215,0.262771,0.254042,0.169673,0.045419,-0.072780,-0.150709,-0.178510,-0.157834,-0.114469,-0.072112,-0.049587,-0.041960,-0.046134
s12,stim,parietal,0.003358,0.010625,0.077277,0.185581,0.261283,0.248138,0.157800,0.050173,-0.027577,-0.062335,-0.066970,-0.056628,-0.052295,-0.056306,-0.068297,-0.080698,-0.089943,-0.088512,-0.081033
